time_ns,resetn,m_valid,m_write,m_addr,m_ready,m_rdata,nn_valid,nn_write,nn_addr,nn_ready,nn_rdata,axis_start,axis_busy,axis_done,in_tvalid,in_tready,in_tdata,in_tlast,out_tvalid,out_tready,out_tdata,out_tlast,weight0,weight1,weight2,weight3,weight4,input0,input1,result0,result1
305000,1,1,1,00000048,0,1122aa44,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
315000,1,1,1,00000048,1,1122aa44,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
325000,1,1,1,00000048,1,1122aa44,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
335000,1,0,0,00000008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
345000,1,1,1,00000048,0,1122aa44,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
355000,1,1,1,00000048,1,1122aa44,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
365000,1,1,1,00000048,1,1122aa44,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
375000,1,0,0,00000008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
385000,1,1,0,00000048,0,1122aa44,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
395000,1,1,0,00000048,1,000000ef,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
405000,1,1,0,00000048,1,000000ef,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
415000,1,0,0,00000008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
425000,1,1,1,00010008,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
